epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,29.3172,0.77222,0.9113,0.93893,0.36614,0.5,0.33841,0.09505,1.56759,3.15124,1.57657,0.000250516,0.000250516,0.000250516
25,30.724,0.74533,0.9735,0.97415,0.37661,0.5,0.32442,0.13884,1.63208,2.77002,1.65722,0.000251904,0.000251904,0.000251904
26,31.9827,1.091,1.40871,1.25445,0.37661,0.5,0.32442,0.13884,1.63208,2.77002,1.65722,0.0002525,0.0002525,0.0002525
27,33.3147,0.78782,1.12771,1.01425,0.37066,0.5,0.31417,0.13735,1.61624,2.87755,1.5918,0.000252304,0.000252304,0.000252304
28,34.595,0.71228,0.9342,0.91424,0.37066,0.5,0.31417,0.13735,1.61624,2.87755,1.5918,0.000251316,0.000251316,0.000251316
29,35.8923,0.77889,0.93725,1.0239,0.37831,0.5,0.30306,0.12128,1.3997,2.90185,1.59836,0.000249536,0.000249536,0.000249536
30,37.1561,0.62709,0.93029,1.01496,0.37831,0.5,0.30306,0.12128,1.3997,2.90185,1.59836,0.000246964,0.000246964,0.000246964
31,38.4717,0.74387,0.92797,0.99052,0.40587,0.5,0.57833,0.22727,1.2797,3.03252,1.50305,0.0002436,0.0002436,0.0002436
32,39.75,0.70271,0.89048,0.95844,0.40587,0.5,0.57833,0.22727,1.2797,3.03252,1.50305,0.000239444,0.000239444,0.000239444
33,41.067,0.75726,1.41565,1.10209,0.83218,1,0.995,0.21943,1.22892,3.1965,1.49174,0.000234496,0.000234496,0.000234496
34,42.2922,0.68918,0.87905,0.89037,0.83218,1,0.995,0.21943,1.22892,3.1965,1.49174,0.000228756,0.000228756,0.000228756
35,43.6382,0.86656,0.90948,0.99107,0.86152,1,0.995,0.1813,1.25316,3.15285,1.47232,0.000222224,0.000222224,0.000222224
36,44.9284,0.79891,0.85428,0.96225,0.86152,1,0.995,0.1813,1.25316,3.15285,1.47232,0.0002149,0.0002149,0.0002149
37,46.2432,0.77793,0.7673,0.96408,0.42379,0.5,0.31417,0.11996,1.22746,3.13592,1.49772,0.000206784,0.000206784,0.000206784
38,47.5194,0.67645,0.75696,0.95891,0.42379,0.5,0.31417,0.11996,1.22746,3.13592,1.49772,0.000197876,0.000197876,0.000197876
39,48.8308,0.66144,0.7491,0.92146,0.44844,0.5,0.29512,0.08917,1.3312,2.99479,1.47419,0.000188176,0.000188176,0.000188176
40,50.0577,0.53431,0.74533,0.95181,0.44844,0.5,0.29512,0.08917,1.3312,2.99479,1.47419,0.000177684,0.000177684,0.000177684
41,51.3859,0.67139,0.88579,0.87446,1,0.939,0.995,0.16698,1.42561,3.08786,1.45309,0.0001664,0.0001664,0.0001664
42,52.6725,0.68145,0.95142,0.87261,1,0.939,0.995,0.16698,1.42561,3.08786,1.45309,0.000154324,0.000154324,0.000154324
43,54.0154,0.47016,0.80689,0.8137,1,0.90378,0.995,0.16712,1.46664,3.12187,1.48334,0.000141456,0.000141456,0.000141456
44,55.2639,0.58439,0.81936,0.89213,1,0.90378,0.995,0.16712,1.46664,3.12187,1.48334,0.000127796,0.000127796,0.000127796
45,56.5703,0.60889,1.11914,0.77939,1,0.89371,0.995,0.19901,1.42805,3.1314,1.50649,0.000113344,0.000113344,0.000113344
46,57.7963,0.51881,0.78873,0.78476,1,0.89371,0.995,0.19901,1.42805,3.1314,1.50649,9.81e-05,9.81e-05,9.81e-05
47,59.1128,0.57126,0.77088,0.94257,1,0.90164,0.995,0.19996,1.38797,3.03789,1.49024,8.2064e-05,8.2064e-05,8.2064e-05
48,60.3567,0.65897,0.89568,0.91645,1,0.90164,0.995,0.19996,1.38797,3.03789,1.49024,6.5236e-05,6.5236e-05,6.5236e-05
49,61.733,0.60492,0.90808,0.84295,1,0.90877,0.995,0.21696,1.41077,2.95852,1.50728,4.7616e-05,4.7616e-05,4.7616e-05
50,62.9822,0.46581,0.73142,0.84221,1,0.90877,0.995,0.21696,1.41077,2.95852,1.50728,2.9204e-05,2.9204e-05,2.9204e-05
