epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1976,2.22974,2.81578,2.39315,0.00241,1,0.28106,0.08227,1.21728,14.2382,1.43354,6e-05,6e-05,6e-05
2,35.6269,1.75287,2.44727,1.89447,0.00241,1,0.86181,0.5631,0.50966,13.8368,0.74433,0.000138614,0.000138614,0.000138614
3,51.7175,1.40129,1.76737,1.50331,0.00241,1,0.86585,0.55843,0.47407,13.5928,0.63967,0.000215644,0.000215644,0.000215644
4,67.2969,1.18746,1.37991,1.38475,0.00241,1,0.8095,0.57226,0.48571,12.9275,0.64554,0.00029109,0.00029109,0.00029109
5,84.111,1.1331,1.26486,1.41256,0.71423,1,0.80593,0.5698,0.47838,12.6068,0.63604,0.000364952,0.000364952,0.000364952
6,100.074,1.00443,1.18201,1.26269,0.76243,0.86435,0.86551,0.63064,0.4562,12.4644,0.60611,0.00043723,0.00043723,0.00043723
7,116.948,1.14484,1.27657,1.42464,0.8194,0.87282,0.89919,0.58213,0.49158,12.553,0.63803,0.000507924,0.000507924,0.000507924
8,132.828,1.08772,1.22648,1.34595,1,0.38638,0.90389,0.6319,0.48649,12.8691,0.65489,0.000577034,0.000577034,0.000577034
9,148.467,1.22577,1.24758,1.39676,0.86491,0.73906,0.91382,0.56692,0.62778,13.1354,0.79589,0.00064456,0.00064456,0.00064456
10,163.705,1.1129,1.07254,1.36038,0.7658,0.92308,0.87616,0.57014,0.53512,13.5753,0.67462,0.000710502,0.000710502,0.000710502
11,179.351,1.08362,1.09357,1.3148,0.7612,0.92308,0.92223,0.36014,0.86874,14.9741,1.23269,0.00077486,0.00077486,0.00077486
12,194.649,1.12827,1.09722,1.3229,0.78554,0.92308,0.91488,0.62466,0.54537,17.068,0.8008,0.000837634,0.000837634,0.000837634
13,210.499,1.08003,1.10868,1.32704,0.67974,1,0.85552,0.61384,0.49048,20.4982,0.72041,0.000898824,0.000898824,0.000898824
14,225.964,1.17136,1.08835,1.38174,0.3288,0.88462,0.36786,0.26176,0.50512,17.463,0.71972,0.00095843,0.00095843,0.00095843
15,241.457,1.18169,1.16886,1.39816,0.71909,1,0.74028,0.53574,0.49408,17.8305,0.70055,0.00101645,0.00101645,0.00101645
