epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.748,1.72261,6.07996,1.91482,0.09434,0.33115,0.13208,0.04896,3.18017,26.8826,3.68473,0.0002375,0.0002375,0.0002375
2,182.341,1.38846,3.54049,1.50784,0.48604,0.23757,0.21075,0.13567,3.2099,12.5826,3.95046,0.000390098,0.000390098,0.000390098
3,279.54,1.28588,2.75276,1.40134,0.18232,0.28948,0.11931,0.08047,2.85166,24.6172,3.60705,0.000442795,0.000442795,0.000442795
4,386.296,1.33119,2.50616,1.47065,0.25135,0.26865,0.18403,0.09,3.07319,13.8214,4.19167,0.000395593,0.000395593,0.000395593
5,488.744,1.27357,2.2989,1.44734,0.31766,0.28948,0.16427,0.07766,3.13063,5.83398,4.10412,0.00024849,0.00024849,0.00024849
