epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.984064,1.81741,2.78211,2.21243,0.00333,1,0.63786,0.2577,1.36296,3.26721,1.50328,0,0,0
2,2.10801,1.79708,2.7812,1.83612,0.00333,1,0.695,0.2712,1.35678,3.25513,1.47104,1.868e-05,1.868e-05,1.868e-05
3,3.20192,1.97081,2.84219,1.98986,0.00333,1,0.695,0.27631,1.30471,3.22232,1.43735,3.472e-05,3.472e-05,3.472e-05
4,4.32845,2.1135,2.94821,2.15325,0.00333,1,0.63786,0.28385,1.25035,3.2031,1.40382,4.812e-05,4.812e-05,4.812e-05
5,5.52304,1.87081,2.71897,1.77976,0.00333,1,0.66167,0.30328,1.19956,3.20449,1.37604,5.888e-05,5.888e-05,5.888e-05
6,6.66853,1.61673,2.46554,1.81647,0.00333,1,0.82833,0.39206,1.15187,3.33229,1.34728,6.7e-05,6.7e-05,6.7e-05
7,7.71,1.57418,2.42651,1.68286,0.00333,1,0.745,0.309,1.24643,3.23203,1.38539,7.248e-05,7.248e-05,7.248e-05
8,8.77352,1.29912,2.17694,1.5274,0.00333,1,0.695,0.266,1.53383,3.40241,1.43408,7.532e-05,7.532e-05,7.532e-05
9,9.84903,1.32261,2.06125,1.48115,0.00333,1,0.63786,0.17503,1.76955,3.18989,1.53097,7.552e-05,7.552e-05,7.552e-05
10,10.9595,1.05092,1.86955,1.29935,0.00333,1,0.695,0.14393,1.83174,3.25869,1.58939,7.308e-05,7.308e-05,7.308e-05
11,11.9666,0.87378,1.81502,1.15552,0.00333,1,0.695,0.14704,1.8337,3.37095,1.61311,6.8e-05,6.8e-05,6.8e-05
12,12.9715,1.00114,1.59894,1.17859,0.00333,1,0.23486,0.10431,1.87373,3.35318,1.62919,6.028e-05,6.028e-05,6.028e-05
13,14.0231,1.53298,2.12801,1.31961,0.00333,1,0.29,0.1167,1.90554,3.24714,1.63755,4.992e-05,4.992e-05,4.992e-05
14,15.1272,1.04295,1.6166,1.01893,0.00333,1,0.27611,0.12108,1.89338,3.26117,1.63029,3.692e-05,3.692e-05,3.692e-05
15,16.1371,0.93618,1.51617,1.17799,0.00333,1,0.27611,0.11888,1.88789,3.2566,1.63251,2.128e-05,2.128e-05,2.128e-05
