epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.03889,1.81741,2.78211,2.21243,0.00333,1,0.63786,0.2577,1.36296,3.26721,1.50328,0,0,0
2,2.12575,1.79708,2.7812,1.83612,0.00333,1,0.695,0.27357,1.35632,3.25496,1.4705,1.99802e-05,1.99802e-05,1.99802e-05
3,3.2903,1.96935,2.84142,1.9885,0.00333,1,0.66167,0.26964,1.29613,3.21696,1.4329,3.99208e-05,3.99208e-05,3.99208e-05
4,4.38444,2.10995,2.93912,2.14385,0.00333,1,0.63786,0.2914,1.23158,3.19585,1.40039,5.98218e-05,5.98218e-05,5.98218e-05
5,5.54953,1.84615,2.69444,1.75524,0.00333,1,0.745,0.31388,1.19379,3.21445,1.36435,7.96832e-05,7.96832e-05,7.96832e-05
6,6.69639,1.31571,2.40026,1.61364,0.00333,1,0.66333,0.29844,1.25496,3.25541,1.35962,9.9505e-05,9.9505e-05,9.9505e-05
7,7.80195,1.45377,2.26116,1.51192,0.00333,1,0.66167,0.24836,1.63019,3.41117,1.52293,0.000119287,0.000119287,0.000119287
8,8.91102,0.90247,2.04635,1.07115,0.00333,1,0.33167,0.116,1.97841,3.2297,1.73855,0.00013903,0.00013903,0.00013903
9,9.96781,1.23178,2.20551,1.32501,0.00333,1,0.23486,0.09527,2.03673,3.41097,1.71209,0.000158733,0.000158733,0.000158733
10,11.1791,1.33235,2.15076,1.3111,0.00333,1,0.18091,0.0531,2.10842,3.40924,1.8259,0.000178396,0.000178396,0.000178396
11,12.3383,1.14698,1.62962,1.16413,0.00333,1,0.14917,0.06464,1.97764,3.49232,1.71652,0.00019802,0.00019802,0.00019802
12,13.4078,1.05478,1.9223,1.18999,0.00333,1,0.15456,0.03879,2.4587,3.73108,2.08153,0.000217604,0.000217604,0.000217604
13,14.4703,1.09424,1.70533,1.17557,0.00333,1,0.07654,0.03542,2.24985,4.56772,1.94606,0.000237149,0.000237149,0.000237149
14,15.4837,1.19796,1.36426,1.07971,0.00333,1,0.07654,0.03208,2.04053,4.24811,1.81785,0.000256654,0.000256654,0.000256654
