epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,16.5406,0.78209,1.26788,1.01677,0.00333,1,0.0737,0.0325,2.28349,4.22296,1.94041,0.000276119,0.000276119,0.000276119
16,17.594,0.94001,1.3126,1.17009,0.00333,1,0.09045,0.03245,2.63622,3.83856,2.27326,0.000295545,0.000295545,0.000295545
17,18.6441,0.87465,1.26592,1.17717,0.12773,1,0.16583,0.05577,2.04418,4.06883,1.75764,0.000314931,0.000314931,0.000314931
18,19.6517,0.98627,1.04349,1.14281,0.12773,1,0.16583,0.05577,2.04418,4.06883,1.75764,0.000334278,0.000334278,0.000334278
19,20.7275,0.69496,1.26769,0.92521,0.1424,0.5,0.199,0.06967,1.83443,3.67827,1.59706,0.000353585,0.000353585,0.000353585
20,21.9457,0.84788,1.16278,1.00504,0.1424,0.5,0.199,0.06967,1.83443,3.67827,1.59706,0.000372852,0.000372852,0.000372852
21,23.0605,0.63158,1.56234,1.05829,0.15583,0.5,0.22111,0.07171,1.73487,3.62372,1.63416,0.00039208,0.00039208,0.00039208
22,24.124,0.69146,1.02264,1.04148,0.15583,0.5,0.22111,0.07171,1.73487,3.62372,1.63416,0.000411268,0.000411268,0.000411268
23,25.2144,0.90397,1.27291,1.11865,0.109,0.5,0.13738,0.05616,1.62389,3.4614,1.55075,0.000430417,0.000430417,0.000430417
24,26.1799,0.68216,0.86054,0.94075,0.109,0.5,0.13738,0.05616,1.62389,3.4614,1.55075,0.000449526,0.000449526,0.000449526
25,27.2664,0.7133,0.96321,0.97117,0.04649,0.5,0.09848,0.05267,1.7477,3.6194,1.79071,0.000468595,0.000468595,0.000468595
26,28.2814,1.11723,1.36991,1.24733,0.04649,0.5,0.09848,0.05267,1.7477,3.6194,1.79071,0.000487625,0.000487625,0.000487625
27,29.3968,0.8042,1.12479,1.04375,0.01656,1,0.1128,0.04321,1.81921,3.32142,1.66963,0.000506615,0.000506615,0.000506615
28,30.4852,0.78685,0.78712,0.94485,0.01656,1,0.1128,0.04321,1.81921,3.32142,1.66963,0.000525566,0.000525566,0.000525566
29,31.6488,0.89403,0.95986,1.06485,0.00333,1,0.13806,0.04671,1.82254,3.28053,1.8312,0.000544477,0.000544477,0.000544477
30,32.7129,0.72834,0.99006,1.0623,0.00333,1,0.13806,0.04671,1.82254,3.28053,1.8312,0.000563348,0.000563348,0.000563348
31,33.8714,0.89727,1.02698,1.08946,0.00333,1,0.20708,0.08544,1.93828,3.54642,1.74199,0.00058218,0.00058218,0.00058218
32,35.0247,0.69379,0.8517,0.9694,0.00333,1,0.20708,0.08544,1.93828,3.54642,1.74199,0.000600972,0.000600972,0.000600972
33,36.1611,0.93032,1.66919,1.1923,1,0.83805,0.995,0.16547,2.34029,3.38051,2.12044,0.000619725,0.000619725,0.000619725
34,37.2533,0.94808,1.06112,0.99002,1,0.83805,0.995,0.16547,2.34029,3.38051,2.12044,0.000638438,0.000638438,0.000638438
35,38.391,0.81398,0.92807,0.93348,1,0.89095,0.995,0.17397,2.36984,3.60596,2.20073,0.000657111,0.000657111,0.000657111
36,39.46,0.89114,1.1189,1.0335,1,0.89095,0.995,0.17397,2.36984,3.60596,2.20073,0.000675745,0.000675745,0.000675745
37,40.6058,0.98968,0.99391,1.12182,0.00333,1,0.27611,0.10536,2.23556,3.92111,2.30267,0.000694339,0.000694339,0.000694339
38,41.6881,0.78541,0.85733,1.01639,0.00333,1,0.27611,0.10536,2.23556,3.92111,2.30267,0.000712894,0.000712894,0.000712894
39,42.7886,0.66603,0.77795,0.92757,0.00333,1,0.3725,0.13752,2.0062,4.08638,2.30916,0.000731409,0.000731409,0.000731409
40,43.8795,0.77298,0.9107,0.99597,0.00333,1,0.3725,0.13752,2.0062,4.08638,2.30916,0.000749884,0.000749884,0.000749884
41,45.0464,0.91659,1.00906,1.01021,0.00333,1,0.24875,0.10065,2.4555,3.83432,2.21916,0.00076832,0.00076832,0.00076832
42,46.1269,0.67315,0.89337,0.97921,0.00333,1,0.24875,0.10065,2.4555,3.83432,2.21916,0.000786716,0.000786716,0.000786716
43,47.2932,0.83686,1.00566,0.97506,0.00333,1,0.13267,0.05321,2.60936,3.16456,2.2543,0.000805073,0.000805073,0.000805073
44,48.4022,0.75386,0.83601,0.96212,0.00333,1,0.13267,0.05321,2.60936,3.16456,2.2543,0.00082339,0.00082339,0.00082339
45,49.5978,0.82859,0.93272,1.08536,0.00333,1,0.16583,0.07607,2.10206,3.48958,2.00131,0.000841667,0.000841667,0.000841667
46,50.6865,0.63099,0.83135,0.89817,0.00333,1,0.16583,0.07607,2.10206,3.48958,2.00131,0.000859905,0.000859905,0.000859905
47,51.8416,0.79274,0.92573,0.97258,0.05217,1,0.199,0.07208,2.29136,3.74712,2.10838,0.000878103,0.000878103,0.000878103
48,52.9488,0.88612,0.84753,0.98185,0.05217,1,0.199,0.07208,2.29136,3.74712,2.10838,0.000896262,0.000896262,0.000896262
49,54.1208,0.7452,0.80814,0.94638,0.13174,0.5,0.0951,0.03228,1.83875,4.0606,1.63511,0.000914381,0.000914381,0.000914381
50,55.2341,0.74389,0.90706,0.95905,0.13174,0.5,0.0951,0.03228,1.83875,4.0606,1.63511,0.00093246,0.00093246,0.00093246
51,56.41,0.90511,1.20231,1.15494,0.07228,0.5,0.08,0.05135,1.59083,4.28405,1.50156,0.0009505,0.0009505,0.0009505
52,57.5444,0.84377,0.92435,1.02864,0.07228,0.5,0.08,0.05135,1.59083,4.28405,1.50156,0.0009685,0.0009685,0.0009685
53,58.6619,0.64938,0.91546,0.91514,0.07228,0.5,0.08,0.05135,1.59083,4.28405,1.50156,0.000986461,0.000986461,0.000986461
54,59.8659,0.70148,0.80568,0.93685,0.07979,0.5,0.07038,0.03595,1.82849,4.39743,1.83723,0.00100438,0.00100438,0.00100438
55,60.9655,0.76122,1.24148,0.99779,0.07979,0.5,0.07038,0.03595,1.82849,4.39743,1.83723,0.00102226,0.00102226,0.00102226
56,62.052,0.86833,1.01531,1.0685,0.07979,0.5,0.07038,0.03595,1.82849,4.39743,1.83723,0.0010401,0.0010401,0.0010401
57,63.1942,0.80772,0.7796,0.97333,0.03952,0.5,0.09204,0.04967,1.89837,4.59074,1.81115,0.00105791,0.00105791,0.00105791
58,64.2973,0.64185,0.81309,0.95156,0.03952,0.5,0.09204,0.04967,1.89837,4.59074,1.81115,0.00107567,0.00107567,0.00107567
59,65.3899,0.98223,1.26119,1.18843,0.03952,0.5,0.09204,0.04967,1.89837,4.59074,1.81115,0.00109339,0.00109339,0.00109339
60,66.5278,0.58486,0.71263,0.86615,0.00333,1,0.09045,0.0358,2.20773,3.51581,1.8622,0.00111108,0.00111108,0.00111108
61,67.6429,0.92527,1.42144,1.23478,0.00333,1,0.09045,0.0358,2.20773,3.51581,1.8622,0.00112872,0.00112872,0.00112872
62,68.7518,0.80157,0.92359,0.9904,0.00333,1,0.09045,0.0358,2.20773,3.51581,1.8622,0.00114632,0.00114632,0.00114632
63,69.9008,0.83846,1.20218,1.16222,0.24881,0.5,0.265,0.06376,2.48585,3.79306,2.32437,0.00116389,0.00116389,0.00116389
64,70.9956,0.77934,0.82147,0.96648,0.24881,0.5,0.265,0.06376,2.48585,3.79306,2.32437,0.00118141,0.00118141,0.00118141
65,72.0731,0.81805,0.98994,1.00739,0.24881,0.5,0.265,0.06376,2.48585,3.79306,2.32437,0.0011989,0.0011989,0.0011989
66,73.198,0.83281,0.96951,1.04861,0.22466,0.5,0.30786,0.10495,1.91841,4.19214,1.87843,0.00121635,0.00121635,0.00121635
67,74.3135,0.61697,0.92903,0.97809,0.22466,0.5,0.30786,0.10495,1.91841,4.19214,1.87843,0.00123375,0.00123375,0.00123375
68,75.434,0.81286,0.99418,0.97527,0.22466,0.5,0.30786,0.10495,1.91841,4.19214,1.87843,0.00125112,0.00125112,0.00125112
69,76.6107,0.65183,0.90275,0.90021,0.00333,1,0.15308,0.06612,2.19237,4.13826,1.94731,0.00126844,0.00126844,0.00126844
70,77.715,0.77313,0.87971,1.00773,0.00333,1,0.15308,0.06612,2.19237,4.13826,1.94731,0.00128573,0.00128573,0.00128573
71,78.8162,0.66681,0.98503,0.94604,0.00333,1,0.15308,0.06612,2.19237,4.13826,1.94731,0.00130298,0.00130298,0.00130298
72,79.9891,0.69059,0.78308,0.91956,0.00333,1,0.18091,0.1135,1.62317,3.83345,1.59014,0.00132019,0.00132019,0.00132019
73,81.0679,0.73699,0.70881,0.93783,0.00333,1,0.18091,0.1135,1.62317,3.83345,1.59014,0.00133736,0.00133736,0.00133736
74,82.068,0.83864,1.08299,1.02886,0.00333,1,0.18091,0.1135,1.62317,3.83345,1.59014,0.00135449,0.00135449,0.00135449
75,83.1963,0.84655,0.87152,1.02872,0.00333,1,0.10474,0.0498,2.11056,4.16398,1.88453,0.00137158,0.00137158,0.00137158
76,84.2181,0.63577,0.74943,0.92623,0.00333,1,0.10474,0.0498,2.11056,4.16398,1.88453,0.00138863,0.00138863,0.00138863
77,85.2319,0.71282,0.74848,0.94823,0.00333,1,0.10474,0.0498,2.11056,4.16398,1.88453,0.00140564,0.00140564,0.00140564
78,86.2996,0.62485,0.93465,0.98589,0.08594,0.5,0.10576,0.02646,2.51171,4.22815,2.44749,0.00142261,0.00142261,0.00142261
79,87.3325,0.75457,0.77393,1.00845,0.08594,0.5,0.10576,0.02646,2.51171,4.22815,2.44749,0.00143954,0.00143954,0.00143954
80,88.5002,0.81147,0.89614,1.071,0.08594,0.5,0.10576,0.02646,2.51171,4.22815,2.44749,0.00145643,0.00145643,0.00145643
81,89.6329,0.6049,0.68825,0.92569,0.48881,0.5,0.51113,0.06074,2.79995,3.5854,3.25147,0.00147328,0.00147328,0.00147328
82,90.679,0.68092,0.8431,0.94253,0.48881,0.5,0.51113,0.06074,2.79995,3.5854,3.25147,0.00149009,0.00149009,0.00149009
83,91.7349,0.64508,0.6703,0.87259,0.48881,0.5,0.51113,0.06074,2.79995,3.5854,3.25147,0.00150686,0.00150686,0.00150686
84,92.8749,0.71026,0.72087,1.01626,0.19444,0.5,0.2275,0.07347,2.74884,3.83723,2.93134,0.0015236,0.0015236,0.0015236
85,93.9094,0.84878,1.04153,1.05874,0.19444,0.5,0.2275,0.07347,2.74884,3.83723,2.93134,0.00154029,0.00154029,0.00154029
86,94.9348,0.60096,0.71937,0.93695,0.19444,0.5,0.2275,0.07347,2.74884,3.83723,2.93134,0.00155695,0.00155695,0.00155695
87,95.9454,0.80329,0.75019,0.99148,0.19444,0.5,0.2275,0.07347,2.74884,3.83723,2.93134,0.00157356,0.00157356,0.00157356
88,97.035,0.83426,0.90626,0.96971,0.22915,0.5,0.18625,0.05132,1.52142,3.9345,2.44238,0.00159013,0.00159013,0.00159013
89,98.1138,0.5124,1.00422,0.95505,0.22915,0.5,0.18625,0.05132,1.52142,3.9345,2.44238,0.00160667,0.00160667,0.00160667
90,99.1726,0.86141,0.81019,1.08111,0.22915,0.5,0.18625,0.05132,1.52142,3.9345,2.44238,0.00162316,0.00162316,0.00162316
91,100.234,0.72162,0.7874,0.95552,0.22915,0.5,0.18625,0.05132,1.52142,3.9345,2.44238,0.00163962,0.00163962,0.00163962
92,101.397,0.5613,0.66447,0.89346,0.23981,0.47963,0.15946,0.06902,1.97078,4.1555,2.34077,0.00165604,0.00165604,0.00165604
93,102.462,0.76363,0.82468,0.91864,0.23981,0.47963,0.15946,0.06902,1.97078,4.1555,2.34077,0.00167241,0.00167241,0.00167241
94,103.536,0.71091,0.89415,0.93798,0.23981,0.47963,0.15946,0.06902,1.97078,4.1555,2.34077,0.00168875,0.00168875,0.00168875
95,104.602,0.75579,0.80851,0.97345,0.23981,0.47963,0.15946,0.06902,1.97078,4.1555,2.34077,0.00170505,0.00170505,0.00170505
96,105.725,0.69072,0.72284,0.94114,0.00761,1,0.124,0.04894,2.65657,3.82465,2.65558,0.00172131,0.00172131,0.00172131
97,106.801,0.84736,0.74436,1.02425,0.00761,1,0.124,0.04894,2.65657,3.82465,2.65558,0.00173752,0.00173752,0.00173752
98,107.888,0.81759,0.81958,1.02319,0.00761,1,0.124,0.04894,2.65657,3.82465,2.65558,0.0017537,0.0017537,0.0017537
99,108.951,0.70152,0.75476,1.02058,0.00761,1,0.124,0.04894,2.65657,3.82465,2.65558,0.00176984,0.00176984,0.00176984
100,110.089,0.85862,0.84997,1.04617,0.01762,0.5,0.099,0.04531,2.38386,3.53444,2.8911,0.00178594,0.00178594,0.00178594
101,111.155,0.6971,0.71353,0.96628,0.01762,0.5,0.099,0.04531,2.38386,3.53444,2.8911,0.001802,0.001802,0.001802
102,112.228,0.65822,0.82683,1.00433,0.01762,0.5,0.099,0.04531,2.38386,3.53444,2.8911,0.00180002,0.00180002,0.00180002
103,113.301,0.64074,0.73883,0.94621,0.01762,0.5,0.099,0.04531,2.38386,3.53444,2.8911,0.00179804,0.00179804,0.00179804
104,114.427,0.74996,0.67947,0.96658,0.23334,0.46668,0.13208,0.033,2.64611,3.28817,3.5541,0.00179606,0.00179606,0.00179606
105,115.484,0.65197,0.73966,0.93078,0.23334,0.46668,0.13208,0.033,2.64611,3.28817,3.5541,0.00179408,0.00179408,0.00179408
