epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1445,2.22974,2.81578,2.39315,0.00241,1,0.28106,0.08227,1.21728,14.2382,1.43354,6e-05,6e-05,6e-05
2,36.6927,1.75402,2.49119,1.91573,0.00241,1,0.84752,0.52827,0.53997,13.8628,0.79479,0.00011228,0.00011228,0.00011228
3,54.1154,1.33931,1.90088,1.50543,0.00241,1,0.83406,0.55919,0.47232,13.6785,0.6519,0.00013288,0.00013288,0.00013288
4,71.8808,1.17126,1.47425,1.38884,0.00241,1,0.81868,0.49893,0.47769,13.4476,0.6515,0.0001218,0.0001218,0.0001218
5,89.541,1.21758,1.36009,1.43592,0.00241,1,0.78927,0.51981,0.44413,13.3392,0.63139,7.904e-05,7.904e-05,7.904e-05
